"Piso en Sants, Barcelona",2.000,€/mes,2 ,75 ,4ª planta exterior con ascensor
"Piso en paseo de Gracia, La Dreta de l'Eixample, Barcelona",10.000,€/mes,3 ,180 ,7ª planta exterior con ascensor
"Piso en calle de Joan Arús i Borràs, 8, Sant Ildefons, Cornellà de Llobregat",900,€/mes,2 ,73 ,2ª planta exterior con ascensor
"Dúplex en calle de Villà, Golf, Sant Cugat del Vallès",3.600,€/mes,7 ,429 ,Bajo exterior con ascensor
"Piso en Martí, Vila de Gràcia, Barcelona",745,€/mes,1 ,50 ,Bajo exterior sin ascensor
"Piso en calle de Tarragona, La Nova Esquerra de l'Eixample, Barcelona",1.900,€/mes,6 ,217 ,11ª planta exterior con ascensor
"Piso en calle de Felipe de Paz, Barcelona, 6, La Maternitat i Sant Ramon, Barcelona",950,€/mes,2 ,66 ,6ª planta exterior con ascensor
"Piso en calle de Sant Màrius, Sant Gervasi - La Bonanova, Barcelona",1.150,€/mes,1 ,70 ,1ª planta exterior con ascensor
"Piso en calle del Mas Duran, Barcelona, Verdun, Barcelona",800,€/mes,3 ,70 ,2ª planta exterior con ascensor
"Piso en Coll Favà - Can Magí, Sant Cugat del Vallès",1.800,€/mes,3 ,110 ,Bajo exterior con ascensor
"Piso en El Raval, Barcelona",1.300,€/mes,1 ,110 ,Bajo exterior con ascensor
"Piso en Mirasol, Sant Cugat del Vallès",1.100,€/mes,1 ,80 ,1ª planta exterior con ascensor
"Piso en calle Ferlandina, Barcelona, El Raval, Barcelona",900,€/mes,2 ,55 ,2ª planta exterior sin ascensor
"Ático en Volpelleres, Sant Cugat del Vallès",1.400,€/mes,3 ,90 ,4ª planta exterior con ascensor
"Piso en calle de Valencia, Barcelona, La Sagrada Família, Barcelona",775,€/mes,2 ,56 ,2ª planta exterior sin ascensor
"Piso en Eixample, Sant Cugat del Vallès",3.000,€/mes,4 ,170 ,2ª planta exterior con ascensor
"Piso en Sant Gervasi - Galvany, Barcelona",2.705,€/mes,3 ,187 ,3ª planta exterior con ascensor
"Piso en Parc Central - Colomer, Sant Cugat del Vallès",2.300,€/mes,3 ,150 ,1ª planta exterior con ascensor
"Piso en camino del Mig, Mataró, 32, Peramás, Mataró",700,€/mes,3 ,65 ,9ª planta exterior con ascensor
"Piso en Coll Favà - Can Magí, Sant Cugat del Vallès",1.250,€/mes,3 ,92 ,1ª planta exterior con ascensor
"Piso en calle de l'Abadessa Olzet, 13, Pedralbes, Barcelona",3.860,€/mes,4 ,233 ,2 horas
"Casa o chalet independiente en Valldoreix, Sant Cugat del Vallès",4.000,€/mes,6 ,470 ,
"Piso en calle del Comte d'Urgell, La Nova Esquerra de l'Eixample, Barcelona",1.336,€/mes,3 ,89 ,  con ascensor
"Casa o chalet independiente en Bellaterra, Cerdanyola del Vallès",3.500,€/mes,6 ,467 ,
"Piso en Platón, 20, Sant Gervasi - Galvany, Barcelona",2.100,€/mes,2 ,92 ,1ª planta exterior con ascensor
"Casa o chalet independiente en Valldoreix, Sant Cugat del Vallès",5.500,€/mes,5 ,560 ,
"Piso en calle del Pare Manyanet, Barcelona, Sant Andreu, Barcelona",975,€/mes,4 ,99 ,3ª planta exterior con ascensor
"Dúplex en Parc Central - Colomer, Sant Cugat del Vallès",2.000,€/mes,3 ,180 ,4ª planta exterior con ascensor
"Ático en calle Campoamor, Bellvitge, Hospitalet de Llobregat",750,€/mes,1 ,53 ,4ª planta exterior con ascensor
"Piso en Can Matas, Sant Cugat del Vallès",1.950,€/mes,3 ,98 ,Bajo exterior con ascensor
"Piso en calle de les Carretes, Barcelona, El Raval, Barcelona",940,€/mes,2 ,65 ,2ª planta exterior con ascensor
"Casa o chalet independiente en Mirasol, Sant Cugat del Vallès",3.500,€/mes,4 ,350 ,
